ref,title,author,lastRunTime,totalVotes
mmoffitt/the-2026-neurogolf-championship,The 2026 NeuroGolf Championship,Michael D. Moffitt,2026-05-06 18:28:44.070000,185
jonathanchan/ngc26-constraint-smart-logic-mix-blending,[NGC26] Constraint Smart Logic Mix Blending,Jonathan Chan,2026-05-08 02:56:54.807000,115
yash9439/neurogolf-2026-improved-starter-notebook,NeuroGolf 2026 : Improved Starter Notebook ,yash bhaskar,2026-04-16 17:28:52.003000,108
sigmaborov/neurogolf-2026-starter,NeuroGolf 2026 - Starter,sigmaborov,2026-04-21 05:42:28.443000,87
nihilisticneuralnet/neurogolf-championship-2026-starter-notebook,NeuroGolf Championship 2026: Starter Notebook,parthenos,2026-04-17 06:13:15.063000,86
afr1ste/neurogolf-5480-41-current-rules-score,NeuroGolf 5480.41 Current Rules Score,Afr1ste,2026-05-07 10:05:00.067000,82
jazivxt/infinitesimals,Infinitesimals,jazivxt,2026-05-10 11:15:59.587000,76
imaadmahmood/neurogolf-2026-rule-based-onnx-solver,NeuroGolf 2026 — Rule-Based ONNX Solver,Imaad Mahmood,2026-05-10 07:21:00.047000,75
magmacot/4200-v5-neurogolf-fix-for-new-system-soon,[4200+] - v5 NeuroGolf fix for new system soon!,Magmucot,2026-04-23 10:09:14.147000,73
karnakbaevarthur/logic-decoder,Logic Decoder,Karnakbayev Artur,2026-04-23 14:42:04.353000,73
karnakbaevarthur/neurogolf-all-task-logic-complexity-map,Neurogolf: All Task Logic & Complexity Map,Karnakbayev Artur,2026-04-29 10:44:54.137000,71
vyankteshdwivedi/neurogolf-multi-source-onnx-solver,NeuroGolf Multi-Source ONNX Solver,zorojuro,2026-05-07 12:23:23.207000,64
karnakbaevarthur/cross-source-ensemble,Cross-Source Ensemble,Karnakbayev Artur,2026-04-23 14:46:18.497000,64
jiweiliu/kaggle-agent-ensemble-with-yash9439,Kaggle Agent Ensemble with yash9439,Jiwei Liu,2026-04-18 00:53:24.917000,64
aliafzal9323/neurogolf-2026-tiny-onnx-solver,NeuroGolf 2026: Tiny-ONNX Solver,Ali Afzal,2026-04-21 08:35:59.897000,64
yash9439/neurogolf-emsembling,NeuroGolf Emsembling,yash bhaskar,2026-04-17 17:34:01.793000,63
svanikkolli/arc-nano-engine,ARC Nano-Engine,Svanik Kolli,2026-05-01 00:51:07.737000,63
konbu17/neurogolf-2026-blended-till-4-27,NeuroGolf-2026 Blended till 4/27 ,konbu17,2026-05-06 06:21:54.130000,60
konbu17/neurogolf-2026-till-4-27,NeuroGolf-2026 — till 4/27,konbu17,2026-05-06 06:22:04.660000,59
sigmaborov/neurogolf-2026-public-data,NeuroGolf 2026 — Public Data,sigmaborov,2026-04-19 08:06:42.393000,56
needless090/neurogolf-4250,NeuroGolf 4250,没落者,2026-05-01 01:56:41.973000,53
konbu17/neurogolf-2026-may-8-updated,NeuroGolf-2026 [May 8 updated],konbu17,2026-05-09 19:53:37.467000,48
hanifnoerrofiq/8-may-update,8 May update,Hanif Noer Rofiq,2026-05-07 22:38:29.540000,46
thisray/neurogolf-4808-21-post-apr-28-update,NeuroGolf 4808.21 Post Apr 28 Update,thisray,2026-04-29 02:50:52.467000,34
hanifnoerrofiq/neurogolf-sparse-builder,NeuroGolf Sparse Builder,Hanif Noer Rofiq,2026-04-16 12:40:19.930000,34
foysalemonshanto/the-2026-neurogolf-championship,The 2026 NeuroGolf Championship,FOYSAL,2026-04-21 08:46:29.860000,33
mpwolke/neurogolf-2026-onnx,NeuroGolf 2026 ONNX,Marília Prata,2026-04-15 20:43:34.643000,32
ashok205/neurogolf-locally-solved,NeuroGolf - Locally solved,NNMax,2026-04-18 15:28:18.847000,31
ldausl/the-2026-neurogolf-championship,The 2026 NeuroGolf Championship,Muhammad Firdaus,2026-04-29 13:55:15.427000,31
yash9439/neurogolf-2026-cost-optimization,NeuroGolf 2026 : Cost Optimization,yash bhaskar,2026-04-17 01:34:16.477000,29
magmacot/neurogolf-new-blending,NeuroGolf new Blending,Magmucot,2026-04-27 17:22:42.980000,27
magmacot/5700-neurogolf-logic-driven-ensemble,[5700]NeuroGolf Logic-Driven Ensemble,Magmucot,2026-04-27 03:51:29.990000,5
